lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lt3,rt1,rt2,rt3,time
0.000000, 1.397391, 2.096216, 0.301946, 0.090103, 1.250043, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50506 
0.000000, 0.833837, 2.086809, 0.481203, 0.178910, 1.434506, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50556 
0.000000, 1.372225, 2.158578, 0.286427, 0.357743, 1.440021, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50606 
0.000000, 0.872986, 2.184261, 0.527694, 0.354519, 1.154687, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50656 
0.000000, 1.247872, 1.912558, 0.422698, 0.140211, 1.418961, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50706 
0.000000, 1.033808, 2.316815, 0.488089, 0.245002, 1.476061, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50756 
0.000000, 1.107869, 1.890394, 0.380859, 0.223506, 1.406295, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50806 
0.000000, 1.007965, 2.379685, 0.298822, 0.269826, 1.484482, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50856 
0.000000, 1.254981, 2.000287, 0.475905, 0.329629, 1.444044, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50906 
0.000000, 0.985611, 2.292120, 0.421255, 0.063393, 1.588551, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50956 
0.000000, 1.117488, 1.968708, 0.471147, 0.166565, 1.552031, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51006 
0.000000, 1.124399, 2.057199, 0.299725, 0.099553, 1.556622, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51056 
0.000000, 1.217761, 2.244153, 0.615620, 0.281974, 1.332655, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51106 
0.000000, 1.244650, 1.931320, 0.302452, 0.159952, 1.346254, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51156 
0.000000, 1.150812, 2.068564, 0.613765, 0.294482, 1.415585, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51206 
0.000000, 1.410520, 1.847696, 0.245606, 0.194214, 1.503789, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51256 
0.000000, 0.798299, 2.044813, 0.556343, 0.199748, 1.322502, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51306 
0.000000, 1.404886, 1.937069, 0.208522, 0.152682, 1.543358, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51356 
0.000000, 0.984220, 2.302129, 0.459911, 0.255834, 1.207185, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51406 
0.000000, 1.198356, 1.853150, 0.208196, 0.159941, 1.521968, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51456 
0.000000, 1.076227, 2.074806, 0.522403, 0.198801, 1.458385, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51506 
0.000000, 1.182351, 2.109677, 0.441279, 0.097094, 1.550250, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51556 
0.000000, 1.106277, 1.915406, 0.548410, 0.319499, 1.246811, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51606 
0.000000, 0.890549, 2.109193, 0.405546, 0.099709, 1.310128, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51656 
0.000000, 1.233963, 2.042399, 0.483960, 0.033385, 1.294211, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51706 
0.000000, 1.110416, 2.161031, 0.393814, 0.049219, 1.475517, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51756 
0.000000, 1.243142, 2.221554, 0.465921, 0.317123, 1.408622, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51806 
0.000000, 0.857880, 2.418840, 0.324749, 0.137328, 1.340963, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 51856 
