lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lr3,rt1,rt2,rt3,time
0.000000, 0.000000, 1.272925, 0.806252, 0.000000, 0.312552, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4056 
0.000000, 0.000000, 1.140435, 0.733369, 0.000000, 0.328202, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4106 
0.000000, 0.000000, 1.148975, 1.085337, 0.000000, 0.155835, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4156 
0.000000, 0.000000, 1.151759, 1.316881, 0.000000, 0.565769, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4206 
0.000000, 0.000000, 1.054810, 0.524966, 0.000000, 0.322795, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4256 
0.000000, 0.000000, 1.308029, 0.794971, 0.000000, 0.393877, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4306 
0.000000, 0.000000, 1.068798, 1.514719, 0.000000, 0.125381, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4356 
0.000000, 0.000000, 1.306179, 0.745951, 0.000000, 0.664341, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4406 
0.000000, 0.000000, 1.064764, 0.705837, 0.000000, 0.411446, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4456 
0.000000, 0.000000, 1.286224, 0.922639, 0.000000, 0.416530, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4506 
0.000000, 0.000000, 1.006780, 1.006962, 0.000000, 0.347787, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4556 
0.000000, 0.000000, 1.220990, 0.524805, 0.000000, 0.453915, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4606 
0.000000, 0.000000, 1.036651, 1.254611, 0.000000, 0.088683, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4656 
0.000000, 0.000000, 1.273294, 0.734239, 0.000000, 0.353493, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4706 
0.000000, 0.000000, 1.163558, 0.665085, 0.000000, 0.178074, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4756 
0.000000, 0.000000, 1.042172, 0.965967, 0.000000, 0.107354, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4806 
0.000000, 0.000000, 1.100958, 1.378972, 0.000000, 0.692078, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4856 
0.000000, 0.000000, 1.051060, 0.762483, 0.000000, 0.313793, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4906 
0.000000, 0.000000, 1.261529, 0.784174, 0.000000, 0.418384, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4956 
0.000000, 0.000000, 0.909419, 0.976713, 0.000000, 0.222522, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5006 
0.000000, 0.000000, 1.204643, 1.015937, 0.000000, 0.759061, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5056 
0.000000, 0.000000, 1.058540, 0.700007, 0.000000, 0.222106, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5106 
0.000000, 0.000000, 1.209886, 0.717651, 0.000000, 0.308491, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5156 
0.000000, 0.000000, 1.156449, 0.916881, 0.000000, 0.311957, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5206 
0.000000, 0.000000, 1.120789, 0.801463, 0.000000, 0.328766, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5256 
0.000000, 0.000000, 1.231389, 1.201985, 0.000000, 0.104856, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5306 
0.000000, 0.000000, 1.034800, 0.936789, 0.000000, 0.612578, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5356 
0.000000, 0.000000, 1.250171, 0.804056, 0.000000, 0.200824, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5406 
0.000000, 0.000000, 1.031719, 0.573316, 0.000000, 0.228795, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5456 
0.000000, 0.000000, 1.193400, 1.484917, 0.000000, 0.153656, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5506 
0.000000, 0.000000, 0.987570, 0.723793, 0.000000, 0.517443, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5556 
0.000000, 0.000000, 1.207966, 0.686751, 0.012248, 0.236473, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5606 
0.000000, 0.000000, 1.021893, 0.856733, 0.000000, 0.209065, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5656 
0.000000, 0.000000, 1.127353, 1.297110, 0.000000, 0.449778, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5706 
0.000000, 0.000000, 1.173640, 0.729790, 0.000000, 0.463989, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5756 
0.000000, 0.000000, 1.133418, 1.015307, 0.000000, 0.321593, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5806 
0.000000, 0.000000, 1.235671, 1.065921, 0.000000, 0.097715, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5856 
0.000000, 0.000000, 0.979458, 0.759006, 0.000000, 0.385123, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5906 
0.000000, 0.000000, 1.232290, 0.780888, 0.000000, 0.217444, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 5956 
0.000000, 0.000000, 1.103896, 1.194059, 0.000000, 0.448945, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6006 
